TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Cowboys,20.5,82,244,898,3.7,60,18,58,31,6,11,54.5,28,215,31:07,4
Redskins,16,64,200,914,4.6,49,15,47,31.9,5,8,62.5,24,196,25:56,1
Broncos,16,64,242,982,4.1,60,22,59,37.3,3,11,27.3,35,320,29:01,1
Chiefs,14.8,59,222,1006,4.5,60,22,52,42.3,4,9,44.4,31,260,28:42,2
Bills,17.8,71,211,1015,4.8,60,11,46,23.9,4,6,66.7,27,226,26:51,1
Bengals,12.8,51,233,1017,4.4,60,15,53,28.3,3,10,30,39,404,29:08,3
Bears,10.5,42,248,1052,4.2,66,27,57,47.4,4,7,57.1,36,279,31:56,-9
Browns,15.5,62,226,1055,4.7,61,21,51,41.2,6,10,60,23,201,29:14,3
Chargers,14,56,252,1103,4.4,67,18,56,32.1,4,8,50,22,220,30:31,-1
Lions,12.8,51,254,1133,4.5,77,30,57,52.6,5,11,45.5,30,229,30:17,-6
Packers,21,84,251,1188,4.7,73,18,51,35.3,8,10,80,35,298,28:16,-2
Panthers,19.2,77,240,1199,5,70,19,52,36.5,7,12,58.3,28,261,29:23,-5
Dolphins,22.2,89,262,1209,4.6,70,13,56,23.2,5,13,38.5,32,199,29:50,9
Raiders,21,84,257,1211,4.7,78,34,63,54,8,10,80,28,252,29:13,2
Cardinals,24.8,99,268,1221,4.6,83,24,59,40.7,8,14,57.1,24,240,29:57,1
Texans,14.5,58,223,1222,5.5,65,14,46,30.4,2,7,28.6,38,369,26:56,-3
49ers,15,60,274,1224,4.5,72,27,65,41.5,3,8,37.5,25,185,34:28,-3
Giants,18,72,263,1262,4.8,82,21,59,35.6,3,10,30,26,219,30:03,-2
Seahawks,18,72,264,1272,4.8,78,25,61,41,5,10,50,33,246,33:21,-2
Colts,20.5,82,255,1285,5,69,14,54,25.9,5,14,35.7,26,204,30:57,6
Rams,23.2,93,244,1287,5.3,79,23,51,45.1,7,13,53.8,22,193,30:24,-2
Falcons,21.5,86,239,1291,5.4,67,12,45,26.7,6,11,54.5,43,405,31:20,0
Buccaneers,21.2,85,252,1302,5.2,77,18,48,37.5,8,14,57.1,30,268,31:17,-7
Jaguars,20.2,81,264,1310,5,77,27,61,44.3,6,10,60,30,317,30:27,4
Vikings,13.8,69,302,1317,4.4,72,21,69,30.4,6,13,46.2,42,318,29:52,3
Jets,20.2,81,247,1320,5.3,81,24,53,45.3,7,12,58.3,23,178,28:28,-6
Patriots,18.5,74,272,1408,5.2,77,23,61,37.7,4,15,26.7,29,267,31:11,5
Saints,30.2,121,287,1411,4.9,101,27,60,45,11,16,68.8,23,248,34:18,1
Ravens,29.5,118,279,1449,5.2,94,27,55,49.1,8,14,57.1,36,333,29:28,6
Titans,24,96,234,1491,6.4,82,23,48,47.9,7,11,63.6,24,192,28:46,-1
Eagles,19.2,77,301,1605,5.3,98,34,63,54,7,11,63.6,49,439,36:16,-5
Steelers,24.4,122,314,1766,5.6,97,27,67,40.3,7,12,58.3,39,384,33:41,2
