TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Packers,12.5,50,212,878,4.1,52,12,44,27.3,4,7,57.1,32,283,25:47,-5
Buccaneers,17.8,71,241,951,3.9,49,18,60,30,4,8,50,38,294,29:20,4
Lions,19.2,77,240,1011,4.2,67,18,54,33.3,5,8,62.5,34,281,30:42,2
Chiefs,13,52,235,1017,4.3,62,13,48,27.1,5,7,71.4,29,211,26:50,2
Panthers,15.8,63,224,1031,4.6,63,18,49,36.7,6,10,60,20,163,28:40,-3
Falcons,15.5,62,223,1054,4.7,67,16,48,33.3,5,8,62.5,35,330,30:02,4
Eagles,9.5,38,249,1092,4.4,60,18,58,31,2,7,28.6,31,273,28:12,-3
Ravens,15,60,245,1093,4.5,74,19,53,35.8,4,14,28.6,35,341,29:26,0
Bills,17.8,71,226,1135,5,54,17,54,31.5,4,6,66.7,37,304,26:24,0
Cardinals,25.2,101,207,1149,5.6,50,15,49,30.6,5,10,50,26,185,26:37,8
Jets,17.5,70,256,1175,4.6,62,16,56,28.6,4,11,36.4,35,311,32:56,-1
Seahawks,18,72,245,1202,4.9,77,18,54,33.3,5,8,62.5,27,265,30:36,-1
Rams,22,88,246,1206,4.9,65,19,55,34.5,5,12,41.7,33,347,31:45,5
Raiders,20,80,254,1213,4.8,74,16,54,29.6,7,13,53.8,16,105,32:19,4
Broncos,19.5,78,252,1220,4.8,66,18,56,32.1,4,10,40,27,247,30:08,2
Jaguars,20.5,82,259,1227,4.7,76,17,55,30.9,9,16,56.2,31,261,31:32,2
Dolphins,19.5,78,227,1230,5.4,71,10,44,22.7,8,11,72.7,29,253,29:07,-4
Bengals,17.5,70,242,1237,5.1,66,25,57,43.9,4,10,40,31,226,29:28,-1
Vikings,15.5,62,268,1238,4.6,76,26,63,41.3,4,10,40,28,237,30:18,-8
Texans,15.8,63,273,1267,4.6,79,24,60,40,3,10,30,26,200,28:21,-7
Bears,18.8,75,258,1282,5,79,20,56,35.7,5,14,35.7,32,295,33:14,-1
Redskins,17.5,70,263,1282,4.9,72,11,51,21.6,3,8,37.5,35,257,28:40,-5
49ers,22.5,90,283,1288,4.6,85,21,61,34.4,11,15,73.3,25,163,34:26,1
Giants,19.2,77,290,1326,4.6,73,29,69,42,7,14,50,30,274,34:22,2
Colts,20,80,251,1333,5.3,77,18,51,35.3,8,12,66.7,31,265,30:26,0
Chargers,21,84,239,1357,5.7,74,20,48,41.7,6,12,50,21,183,30:42,2
Saints,25,100,255,1366,5.4,74,19,54,35.2,5,10,50,27,257,30:59,7
Titans,15,60,234,1383,5.9,66,23,52,44.2,4,7,57.1,35,274,28:24,0
Steelers,19.8,79,281,1388,4.9,77,34,66,51.5,2,11,18.2,31,287,33:55,3
Patriots,19.5,78,285,1404,4.9,80,25,61,41,7,13,53.8,28,236,31:54,-6
Cowboys,24.2,97,263,1432,5.4,87,25,55,45.5,11,17,64.7,30,251,33:52,-2
Browns,23,92,292,1497,5.1,90,33,69,47.8,6,13,46.2,29,253,36:38,-1
