TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Ravens,15.8,63,201,982,4.9,63,13,40,32.5,5,9,55.6,26,220,24:25,-2
Broncos,9.2,37,237,987,4.2,67,13,47,27.7,2,7,28.6,35,318,29:10,-3
Redskins,15.5,62,225,1013,4.5,64,16,47,34,1,7,14.3,28,206,26:19,4
Packers,15.5,62,240,1075,4.5,70,18,54,33.3,7,8,87.5,37,347,29:35,-1
Chargers,19.5,78,233,1076,4.6,68,23,54,42.6,6,10,60,28,179,29:34,1
Bengals,21.5,86,230,1131,4.9,61,15,50,30,5,11,45.5,32,294,30:50,-2
Seahawks,20.5,82,228,1135,5,73,26,50,52,7,10,70,38,268,30:40,0
Dolphins,15.8,63,256,1138,4.4,72,20,60,33.3,4,8,50,39,306,30:14,4
Vikings,12.2,49,242,1143,4.7,71,20,54,37,6,11,54.5,33,225,28:05,-5
49ers,19.2,77,256,1152,4.5,71,25,57,43.9,6,13,46.2,24,189,31:49,3
Lions,12.8,51,257,1178,4.6,73,20,56,35.7,4,9,44.4,40,296,28:57,-4
Rams,18.8,75,241,1195,5,74,18,50,36,6,11,54.5,35,291,26:14,-5
Colts,24.5,98,268,1215,4.5,81,22,57,38.6,8,12,66.7,39,347,30:23,4
Panthers,16.5,66,246,1223,5,70,26,57,45.6,4,8,50,33,291,30:12,3
Jaguars,16.8,67,239,1269,5.3,77,19,54,35.2,6,9,66.7,43,401,31:28,-4
Falcons,20,80,250,1287,5.1,70,17,52,32.7,5,10,50,43,367,30:30,0
Cardinals,15.2,61,241,1295,5.4,70,12,50,24,2,11,18.2,47,464,29:17,0
Bills,20.8,104,309,1352,4.4,91,29,70,41.4,5,10,50,38,290,32:23,5
Chiefs,32.8,131,248,1357,5.5,90,18,45,40,11,15,73.3,25,245,30:16,4
Raiders,24.5,98,263,1365,5.2,78,28,63,44.4,8,13,61.5,39,303,32:42,4
Patriots,20.2,81,240,1378,5.7,81,18,47,38.3,8,16,50,30,220,29:26,-3
Titans,20.8,83,257,1380,5.4,79,25,56,44.6,5,12,41.7,46,403,31:17,8
Browns,20.8,83,254,1384,5.4,84,27,55,49.1,4,14,28.6,37,289,32:06,-2
Buccaneers,18.5,74,256,1386,5.4,77,16,49,32.7,6,12,50,36,294,30:48,0
Jets,24.8,99,271,1427,5.3,82,28,60,46.7,6,11,54.5,33,265,29:41,-2
Texans,24,96,264,1431,5.4,89,25,54,46.3,8,14,57.1,34,300,34:10,0
Steelers,19.2,77,285,1466,5.1,91,22,54,40.7,6,12,50,43,356,32:26,-3
Giants,18.4,92,341,1525,4.5,101,24,77,31.2,6,14,42.9,33,229,30:06,-1
Bears,28.5,114,269,1567,5.8,97,24,53,45.3,10,16,62.5,35,367,29:27,0
Cowboys,29,116,257,1573,6.1,90,21,50,42,9,15,60,26,188,31:06,-1
Eagles,26,104,269,1576,5.9,94,31,59,52.5,9,13,69.2,44,323,33:15,4
Saints,21.8,87,275,1584,5.8,97,28,57,49.1,5,12,41.7,39,334,33:33,-6
