TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Saints,11.8,47,232,864,3.7,65,18,52,34.6,5,7,71.4,26,218,30:44,1
Jaguars,12.5,50,243,1066,4.4,77,12,47,25.5,5,9,55.6,18,150,27:48,0
Chargers,23.8,95,222,1074,4.8,66,20,50,40,9,16,56.2,30,273,28:57,0
Vikings,16.2,65,243,1087,4.5,60,19,56,33.9,4,7,57.1,41,387,28:13,0
Browns,11.5,46,259,1111,4.3,68,12,54,22.2,4,8,50,24,193,29:10,-2
Raiders,13.5,54,261,1119,4.3,70,15,58,25.9,4,10,40,37,321,31:06,3
Eagles,20.5,82,262,1124,4.3,73,15,58,25.9,3,10,30,24,203,30:35,9
Broncos,23.2,93,238,1152,4.8,74,16,50,32,10,13,76.9,34,329,28:47,1
Colts,20,80,252,1164,4.6,75,16,52,30.8,6,13,46.2,38,327,29:08,2
Texans,12.5,50,258,1184,4.6,74,34,65,52.3,4,7,57.1,41,398,32:04,-2
49ers,20.8,83,249,1202,4.8,75,22,55,40,7,14,50,34,304,29:20,7
Cowboys,21.5,86,237,1211,5.1,66,12,49,24.5,6,9,66.7,37,295,29:11,5
Chiefs,19.8,79,223,1224,5.5,74,23,47,48.9,8,12,66.7,24,193,29:57,-2
Seahawks,23.5,94,255,1234,4.8,71,27,63,42.9,6,10,60,32,279,34:44,2
Redskins,24.5,98,245,1255,5.1,76,19,50,38,6,12,50,26,239,31:15,1
Giants,17.5,70,249,1269,5.1,73,19,58,32.8,6,9,66.7,43,420,30:24,-2
Rams,24,96,237,1281,5.4,74,13,46,28.3,10,16,62.5,30,236,28:41,2
Jets,11.8,47,258,1299,5,70,16,55,29.1,1,9,11.1,28,219,32:42,-1
Steelers,23.8,95,263,1305,5,86,19,53,35.8,8,11,72.7,37,291,31:38,-4
Cardinals,14,56,263,1310,5,80,18,55,32.7,4,11,36.4,36,348,33:57,-15
Ravens,14.4,72,316,1325,4.2,81,24,76,31.6,8,16,50,47,365,28:24,-9
Patriots,18.5,74,268,1338,5,79,24,61,39.3,6,10,60,32,338,31:37,-1
Falcons,24,96,265,1349,5.1,83,28,60,46.7,7,11,63.6,25,209,34:46,-1
Bills,24.5,98,244,1350,5.5,80,19,49,38.8,6,11,54.5,32,298,30:04,1
Panthers,24,96,238,1361,5.7,79,19,48,39.6,8,15,53.3,31,304,28:10,1
Lions,27.8,111,236,1401,5.9,80,17,48,35.4,10,15,66.7,39,395,30:06,0
Packers,24.2,97,246,1413,5.7,79,21,52,40.4,8,14,57.1,41,411,29:37,-1
Dolphins,21.8,87,267,1415,5.3,81,21,54,38.9,7,11,63.6,29,259,31:04,2
Buccaneers,24,96,271,1415,5.2,91,22,57,38.6,8,14,57.1,31,317,30:49,1
Titans,22.5,90,277,1418,5.1,85,24,61,39.3,5,11,45.5,37,302,32:28,1
Bengals,20,80,271,1443,5.3,86,24,57,42.1,8,11,72.7,35,373,31:47,-2
Bears,23.6,118,312,1558,5,96,22,70,31.4,9,18,50,45,469,29:20,3
