TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Ravens,8,32,241,825,3.4,54,16,60,26.7,3,5,60,34,287,26:04,-2
Saints,10.2,41,267,942,3.5,57,19,64,29.7,4,7,57.1,35,281,31:54,1
Browns,7.2,29,242,980,4,58,13,54,24.1,1,8,12.5,27,219,28:31,-3
Texans,15.8,63,200,1042,5.2,58,17,44,38.6,2,4,50,17,142,22:06,-3
Rams,19,76,233,1083,4.6,59,21,54,38.9,6,8,75,38,344,29:22,0
Broncos,12.5,50,244,1084,4.4,65,16,50,32,4,5,80,40,333,29:18,-5
Jets,15.2,61,266,1086,4.1,61,12,60,20,2,9,22.2,27,256,31:16,0
Redskins,17.8,71,257,1087,4.2,71,22,58,37.9,5,10,50,21,164,32:34,0
Bills,16.8,67,246,1097,4.5,67,18,52,34.6,6,11,54.5,32,300,30:48,0
Cowboys,14,70,230,1142,5,59,15,54,27.8,5,11,45.5,36,325,22:29,5
Bengals,18,72,242,1154,4.8,66,18,52,34.6,7,12,58.3,23,174,29:50,2
Seahawks,14,56,236,1157,4.9,73,22,54,40.7,2,9,22.2,33,285,28:50,-5
Packers,14,56,262,1166,4.5,65,19,59,32.2,4,10,40,30,225,28:19,-4
49ers,23.8,95,239,1180,4.9,77,15,46,32.6,7,11,63.6,30,218,31:46,2
Steelers,14.5,58,263,1188,4.5,78,21,60,35,5,10,50,28,234,32:17,-1
Lions,18.2,73,257,1191,4.6,69,21,59,35.6,5,10,50,26,215,30:47,4
Eagles,21.8,87,261,1195,4.6,64,15,59,25.4,6,14,42.9,31,269,27:44,0
Falcons,19.2,77,246,1214,4.9,66,18,52,34.6,3,11,27.3,21,148,31:40,-3
Bears,19.8,79,242,1310,5.4,75,21,53,39.6,5,5,100,38,309,29:59,3
Buccaneers,14.2,57,261,1310,5,79,28,61,45.9,4,8,50,33,252,30:15,1
Chargers,25.8,103,246,1316,5.3,78,18,51,35.3,6,14,42.9,20,193,30:09,6
Chiefs,17.8,71,259,1346,5.2,74,17,57,29.8,2,10,20,41,362,31:48,2
Jaguars,16.8,67,250,1353,5.4,78,24,55,43.6,8,13,61.5,26,237,29:20,0
Raiders,21.2,85,259,1357,5.2,87,30,57,52.6,6,10,60,28,265,33:56,0
Giants,24.8,99,244,1359,5.6,75,22,49,44.9,9,13,69.2,21,191,29:33,-1
Dolphins,24.5,98,291,1375,4.7,82,34,70,48.6,9,16,56.2,42,369,37:55,0
Titans,20.8,83,243,1380,5.7,73,21,52,40.4,5,7,71.4,24,168,30:36,-2
Panthers,22.8,91,268,1451,5.4,79,20,57,35.1,10,15,66.7,39,317,31:46,5
Cardinals,19.6,98,300,1474,4.9,95,24,62,38.7,5,11,45.5,31,244,30:10,-1
Vikings,22.8,91,260,1496,5.8,81,24,56,42.9,6,10,60,36,297,29:34,0
Colts,17.2,69,272,1523,5.6,93,20,52,38.5,5,12,41.7,30,232,33:58,-5
Patriots,31.5,126,254,1628,6.4,85,21,48,43.8,9,16,56.2,23,199,31:17,4
