TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Seahawks,27.8,111,264,1635,6.2,94,24,54,44.4,8,16,50,37,368,32:10,5
Patriots,28.8,115,275,1579,5.7,95,29,58,50,10,14,71.4,15,153,29:43,-4
Jaguars,18.8,75,255,1495,5.9,81,21,53,39.6,5,11,45.5,20,206,31:40,0
Cowboys,15.6,78,257,1464,5.7,83,17,51,33.3,5,10,50,33,280,26:31,-5
Cardinals,17.4,87,317,1415,4.5,95,34,72,47.2,8,12,66.7,37,287,30:50,1
Panthers,23,92,241,1380,5.7,76,21,49,42.9,8,10,80,21,155,29:14,-5
49ers,23.8,95,232,1374,5.9,67,18,47,38.3,3,6,50,40,317,29:14,-2
Eagles,19.2,77,296,1347,4.6,77,22,64,34.4,5,12,41.7,31,267,33:16,0
Lions,21.2,85,243,1332,5.5,75,17,47,36.2,7,12,58.3,31,241,30:13,-4
Bills,15.5,62,296,1306,4.4,82,23,65,35.4,5,11,45.5,39,361,30:12,0
Browns,17,68,267,1273,4.8,78,21,57,36.8,5,8,62.5,47,314,32:29,3
Giants,22.5,90,270,1268,4.7,80,16,53,30.2,3,11,27.3,21,168,31:27,1
Bengals,14.5,58,252,1249,5,69,24,58,41.4,3,9,33.3,25,204,31:10,-2
Vikings,17.8,71,262,1224,4.7,79,23,57,40.4,6,11,54.5,23,199,31:26,0
Buccaneers,10.8,43,267,1223,4.6,78,20,58,34.5,3,9,33.3,30,248,30:45,-1
Broncos,26.8,107,238,1217,5.1,74,18,50,36,4,8,50,38,292,31:42,5
Saints,13.2,53,269,1205,4.5,68,18,62,29,3,9,33.3,28,241,29:06,-1
Titans,12.5,50,258,1205,4.7,68,17,59,28.8,5,9,55.6,31,283,30:24,2
Chiefs,22.5,90,226,1199,5.3,70,18,49,36.7,7,12,58.3,37,259,29:12,-2
Jets,15,60,254,1186,4.7,61,16,56,28.6,4,11,36.4,26,239,29:44,0
Bears,15,60,252,1155,4.6,80,21,52,40.4,5,8,62.5,27,205,31:01,-3
Rams,16.5,66,244,1149,4.7,70,18,53,34,3,10,30,32,269,31:38,0
Chargers,14.5,58,245,1110,4.5,61,23,54,42.6,2,7,28.6,28,265,30:51,-6
Steelers,17.2,69,238,1105,4.6,62,16,53,30.2,4,11,36.4,24,217,28:43,1
Falcons,13.5,54,235,1095,4.7,59,19,59,32.2,4,9,44.4,28,264,29:20,3
Dolphins,22.8,91,216,1090,5,55,15,50,30,8,12,66.7,27,204,23:05,0
Raiders,16,64,227,1088,4.8,69,22,52,42.3,6,10,60,29,255,27:04,0
Redskins,14,56,244,1088,4.5,58,21,60,35,4,7,57.1,32,284,28:26,0
Ravens,20.2,81,267,1084,4.1,65,25,65,38.5,7,13,53.8,38,324,34:56,2
Packers,21.5,86,251,1034,4.1,67,19,55,34.5,7,9,77.8,29,247,32:41,4
Colts,13.8,55,225,980,4.4,56,12,54,22.2,4,9,44.4,30,238,27:02,5
Texans,11,44,198,937,4.7,49,14,45,31.1,5,9,55.6,27,200,23:54,3
